question,answer
What flavor does Lauki ki subji have?,spicy
What is the food category of Lauki ki subji?,main course
In which course is Lauki ki subji typically served?,main course
Is Lauki ki subji a main dish or a side dish?,main course
What ingredients are needed to prepare Litti chokha?,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli"
What are the required ingredients to make Litti chokha?,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli"
What is Litti chokha made of?,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli"
What is the dietary type of Litti chokha?,vegetarian
Is Litti chokha vegetarian or non-vegetarian?,vegetarian
What diet category does Litti chokha belong to?,vegetarian
How long does it take to prepare Litti chokha?,45 minutes
What is the preparation time for Litti chokha?,45 minutes
How many minutes does it take to prepare Litti chokha?,45 minutes
How long does it take to cook Litti chokha?,60 minutes
What is the cooking time for Litti chokha?,60 minutes
How many minutes does it take to cook Litti chokha?,60 minutes
What is the origin of Litti chokha?,Bihar
In which state was Litti chokha created?,Bihar
Which state does Litti chokha belong to?,Bihar
In which region is Litti chokha prepared?,North
What region does Litti chokha belong to?,North
In which region is Litti chokha popular?,North
What is the flavor profile of Litti chokha?,spicy
How does Litti chokha taste?,spicy
What flavor does Litti chokha have?,spicy
What is the food category of Litti chokha?,main course
In which course is Litti chokha typically served?,main course
Is Litti chokha a main dish or a side dish?,main course
What ingredients are needed to prepare Makki di roti sarson da saag?,"Palak, makki atta, mustard green, garam masala, ginger"
What are the required ingredients to make Makki di roti sarson da saag?,"Palak, makki atta, mustard green, garam masala, ginger"
What is Makki di roti sarson da saag made of?,"Palak, makki atta, mustard green, garam masala, ginger"
What is the dietary type of Makki di roti sarson da saag?,vegetarian
Is Makki di roti sarson da saag vegetarian or non-vegetarian?,vegetarian
What diet category does Makki di roti sarson da saag belong to?,vegetarian
How long does it take to prepare Makki di roti sarson da saag?,25 minutes
What is the preparation time for Makki di roti sarson da saag?,25 minutes
How many minutes does it take to prepare Makki di roti sarson da saag?,25 minutes
How long does it take to cook Makki di roti sarson da saag?,30 minutes
What is the cooking time for Makki di roti sarson da saag?,30 minutes
How many minutes does it take to cook Makki di roti sarson da saag?,30 minutes
What is the origin of Makki di roti sarson da saag?,Punjab
In which state was Makki di roti sarson da saag created?,Punjab
Which state does Makki di roti sarson da saag belong to?,Punjab
In which region is Makki di roti sarson da saag prepared?,North
What region does Makki di roti sarson da saag belong to?,North
In which region is Makki di roti sarson da saag popular?,North
What is the flavor profile of Makki di roti sarson da saag?,spicy
How does Makki di roti sarson da saag taste?,spicy
What flavor does Makki di roti sarson da saag have?,spicy
What is the food category of Makki di roti sarson da saag?,main course
In which course is Makki di roti sarson da saag typically served?,main course
Is Makki di roti sarson da saag a main dish or a side dish?,main course
What ingredients are needed to prepare Misi roti?,"Whole wheat flour, chickpea flour, green chilies"
What are the required ingredients to make Misi roti?,"Whole wheat flour, chickpea flour, green chilies"
What is Misi roti made of?,"Whole wheat flour, chickpea flour, green chilies"
What is the dietary type of Misi roti?,vegetarian
Is Misi roti vegetarian or non-vegetarian?,vegetarian
What diet category does Misi roti belong to?,vegetarian
How long does it take to prepare Misi roti?,30 minutes
What is the preparation time for Misi roti?,30 minutes
How many minutes does it take to prepare Misi roti?,30 minutes
How long does it take to cook Misi roti?,30 minutes
What is the cooking time for Misi roti?,30 minutes
How many minutes does it take to cook Misi roti?,30 minutes
What is the origin of Misi roti?,Punjab
In which state was Misi roti created?,Punjab
Which state does Misi roti belong to?,Punjab
In which region is Misi roti prepared?,North
What region does Misi roti belong to?,North
In which region is Misi roti popular?,North
What is the flavor profile of Misi roti?,spicy
How does Misi roti taste?,spicy
What flavor does Misi roti have?,spicy
What is the food category of Misi roti?,main course
In which course is Misi roti typically served?,main course
Is Misi roti a main dish or a side dish?,main course
What ingredients are needed to prepare Mushroom do pyaza?,"Mushroom, malai, garam masala, ginger, capsicum"
What are the required ingredients to make Mushroom do pyaza?,"Mushroom, malai, garam masala, ginger, capsicum"
What is Mushroom do pyaza made of?,"Mushroom, malai, garam masala, ginger, capsicum"
What is the dietary type of Mushroom do pyaza?,vegetarian
Is Mushroom do pyaza vegetarian or non-vegetarian?,vegetarian
What diet category does Mushroom do pyaza belong to?,vegetarian
How long does it take to prepare Mushroom do pyaza?,10 minutes
What is the preparation time for Mushroom do pyaza?,10 minutes
How many minutes does it take to prepare Mushroom do pyaza?,10 minutes
How long does it take to cook Mushroom do pyaza?,30 minutes
What is the cooking time for Mushroom do pyaza?,30 minutes
How many minutes does it take to cook Mushroom do pyaza?,30 minutes
What is the origin of Mushroom do pyaza?,Punjab
In which state was Mushroom do pyaza created?,Punjab
Which state does Mushroom do pyaza belong to?,Punjab
In which region is Mushroom do pyaza prepared?,North
What region does Mushroom do pyaza belong to?,North
In which region is Mushroom do pyaza popular?,North
What is the flavor profile of Mushroom do pyaza?,spicy
How does Mushroom do pyaza taste?,spicy
What flavor does Mushroom do pyaza have?,spicy
What is the food category of Mushroom do pyaza?,main course
In which course is Mushroom do pyaza typically served?,main course
Is Mushroom do pyaza a main dish or a side dish?,main course
What ingredients are needed to prepare Mushroom matar?,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes"
What are the required ingredients to make Mushroom matar?,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes"
What is Mushroom matar made of?,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes"
What is the dietary type of Mushroom matar?,vegetarian
Is Mushroom matar vegetarian or non-vegetarian?,vegetarian
What diet category does Mushroom matar belong to?,vegetarian
How long does it take to prepare Mushroom matar?,10 minutes
What is the preparation time for Mushroom matar?,10 minutes
How many minutes does it take to prepare Mushroom matar?,10 minutes
How long does it take to cook Mushroom matar?,30 minutes
What is the cooking time for Mushroom matar?,30 minutes
How many minutes does it take to cook Mushroom matar?,30 minutes
What is the origin of Mushroom matar?,Punjab
In which state was Mushroom matar created?,Punjab
Which state does Mushroom matar belong to?,Punjab
In which region is Mushroom matar prepared?,North
What region does Mushroom matar belong to?,North
In which region is Mushroom matar popular?,North
What is the flavor profile of Mushroom matar?,spicy
How does Mushroom matar taste?,spicy
What flavor does Mushroom matar have?,spicy
What is the food category of Mushroom matar?,main course
In which course is Mushroom matar typically served?,main course
Is Mushroom matar a main dish or a side dish?,main course
What ingredients are needed to prepare Naan?,"Whole wheat flour, honey, butter, garlic"
What are the required ingredients to make Naan?,"Whole wheat flour, honey, butter, garlic"
What is Naan made of?,"Whole wheat flour, honey, butter, garlic"
What is the dietary type of Naan?,vegetarian
Is Naan vegetarian or non-vegetarian?,vegetarian
What diet category does Naan belong to?,vegetarian
How long does it take to prepare Naan?,60 minutes
What is the preparation time for Naan?,60 minutes
How many minutes does it take to prepare Naan?,60 minutes
How long does it take to cook Naan?,30 minutes
What is the cooking time for Naan?,30 minutes
How many minutes does it take to cook Naan?,30 minutes
What is the origin of Naan?,Punjab
In which state was Naan created?,Punjab
Which state does Naan belong to?,Punjab
In which region is Naan prepared?,North
What region does Naan belong to?,North
In which region is Naan popular?,North
What is the flavor profile of Naan?,-1
How does Naan taste?,-1
What flavor does Naan have?,-1
What is the food category of Naan?,main course
In which course is Naan typically served?,main course
Is Naan a main dish or a side dish?,main course
What ingredients are needed to prepare Navrattan korma?,"Green beans, potatoes, khus khus, low fat, garam masala powder"
What are the required ingredients to make Navrattan korma?,"Green beans, potatoes, khus khus, low fat, garam masala powder"
What is Navrattan korma made of?,"Green beans, potatoes, khus khus, low fat, garam masala powder"
What is the dietary type of Navrattan korma?,vegetarian
Is Navrattan korma vegetarian or non-vegetarian?,vegetarian
What diet category does Navrattan korma belong to?,vegetarian
How long does it take to prepare Navrattan korma?,25 minutes
What is the preparation time for Navrattan korma?,25 minutes
How many minutes does it take to prepare Navrattan korma?,25 minutes
How long does it take to cook Navrattan korma?,40 minutes
What is the cooking time for Navrattan korma?,40 minutes
How many minutes does it take to cook Navrattan korma?,40 minutes
What is the origin of Navrattan korma?,Uttar Pradesh
In which state was Navrattan korma created?,Uttar Pradesh
Which state does Navrattan korma belong to?,Uttar Pradesh
In which region is Navrattan korma prepared?,North
What region does Navrattan korma belong to?,North
In which region is Navrattan korma popular?,North
What is the flavor profile of Navrattan korma?,spicy
How does Navrattan korma taste?,spicy
What flavor does Navrattan korma have?,spicy
What is the food category of Navrattan korma?,main course
In which course is Navrattan korma typically served?,main course
Is Navrattan korma a main dish or a side dish?,main course
What ingredients are needed to prepare Palak paneer?,"Cottage cheese, palak, cream, garam masala, butter"
What are the required ingredients to make Palak paneer?,"Cottage cheese, palak, cream, garam masala, butter"
What is Palak paneer made of?,"Cottage cheese, palak, cream, garam masala, butter"
What is the dietary type of Palak paneer?,vegetarian
